NACA 4 digit Additional DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   8.02775   7.99431   7.11316   1.33030  -0.15190   0.00875  -0.37780   0.06010
   4.01378   0.94448  19.78103   0.40170   0.11170   0.01098  -0.03360   0.00150
   2.98776   1.92335   7.58030   0.31490   0.11400   0.00701  -0.05190  -0.00010
   4.09965   1.83380  13.12555   0.44110   0.11570   0.00829  -0.06490   0.00010
   2.00274   2.94748  10.56310   0.23050   0.11280   0.00540  -0.04380   0.00010
   6.96766   5.98897  18.05415   0.99290   0.07710   0.00597  -0.24030   0.00770
   2.00911   3.05638  12.92382   0.23450   0.11450   0.00567  -0.04410   0.00010
   1.06834   7.72461   4.32275   0.19890   0.10920   0.00602  -0.05550  -0.00040
   1.03174   5.07374   6.02651   0.13780   0.10580   0.00464  -0.03320   0.00060
   7.88917   6.00049   8.30266   1.15690   0.11250   0.00464  -0.29400  -0.00040
   0.00000   5.45088   6.95562  -0.00010   0.10890   0.00417   0.00000   0.00040
   3.01346   6.99075  14.72179   0.50620   0.10720   0.00571  -0.13060   0.00170
   8.04019   5.93532   8.56130   1.16990   0.11380   0.00472  -0.29590  -0.00060
   3.98150   7.94205  14.26024   0.67700   0.09950   0.00669  -0.18500   0.00330
   5.95323   4.96656  18.68146   0.78280   0.09840   0.00666  -0.17380   0.00360
   2.03632   5.98543  20.06018   0.29730   0.11200   0.00658  -0.07100   0.00090
   8.96883   4.01198  12.37086   1.07030   0.11090   0.00759  -0.22680   0.00040
   4.03151   5.96434  14.94852   0.61010   0.10890   0.00541  -0.14880   0.00140
   0.98235   7.95776  18.10635   0.18810   0.11510   0.00629  -0.04960   0.00030
   5.91040   1.99249   8.71601   0.61890   0.11600   0.00834  -0.10220   0.00010
   0.96994   3.04849  15.68476   0.11380   0.11570   0.00585  -0.02060   0.00000
   6.90534   5.00819   8.55790   0.91430   0.11370   0.00510  -0.21740  -0.00040
   3.05969   7.91363  16.67565   0.52090   0.11040   0.00650  -0.14060   0.00110
   0.00000   4.57198   8.98605   0.00000   0.11240   0.00453  -0.00000   0.00020
   7.93602   8.96374  16.55432   0.88270   0.13120   0.02495  -0.27610  -0.00380
   7.95389   4.11855  14.11351   0.97030   0.11140   0.00732  -0.20500   0.00050
   6.90046   5.05381  12.72931   0.93040   0.11200   0.00572  -0.21630   0.00030
