NACA 4 digit Error DB20.txt
         c        Lc         t       Cl0      Cla0       Cd0       Cm0      Cma0
   0.00904   0.02054   0.02558   0.00310   0.00150   0.00009   0.00090   0.00040
   0.00614   0.00750   0.20372   0.00140   0.00060   0.00000   0.00050   0.00030
   0.00000   0.06287   0.03087   0.00030   0.00010   0.00002   0.00010   0.00010
   0.00571   0.02165   0.01753   0.00280   0.00210   0.00025   0.00080   0.00080
   0.00605   0.01954   0.01344   0.00120   0.00190   0.00000   0.00060   0.00040
   0.00974   0.00156   0.05282   0.00180   0.00010   0.00001   0.00030   0.00000
   0.01660   0.00784   0.13681   0.00050   0.00000   0.00004   0.00020   0.00010
   0.00859   0.00275   0.07549   0.00020   0.00030   0.00001   0.00010   0.00010
   0.01909   0.01733   0.02578   0.00040   0.00030   0.00004   0.00060   0.00020
   0.00219   0.00370   0.03937   0.00100   0.02020   0.00001   0.00020   0.00440
   0.00757   0.00449   0.08631   0.00070   0.00000   0.00008   0.00010   0.00000
   0.00368   0.00361   0.03585   0.00000   0.00010   0.00001   0.00010   0.00010
   0.03048   0.01465   0.15912   0.00070   0.00010   0.00001   0.00010   0.00000
   0.00248   0.00282   0.04040   0.00170   0.00020   0.00001   0.00030   0.00000
   0.00000   0.01358   0.01424   0.00010   0.00050   0.00001   0.00000   0.00010
   0.01137   0.00513   0.01463   0.00190   0.00030   0.00001   0.00040   0.00010
   0.02874   0.02552   0.06483   0.00000   0.00300   0.00008   0.00050   0.00040
   0.00067   0.00449   0.11405   0.00130   0.00110   0.00001   0.00060   0.00030
   0.03014   0.02310   0.15834   0.00230   0.00190   0.00003   0.00010   0.00000
   0.21949   0.27525   1.70680   0.04890   0.05300   0.00255   0.01180   0.01350
   0.00797   0.04336   0.05147   0.00250   0.00140   0.00003   0.00110   0.00030
   0.02002   0.00328   0.06552   0.00070   0.00100   0.00004   0.00030   0.00030
   0.04648   0.03850   0.29786   0.00090   0.00040   0.00013   0.00060   0.00010
   0.02661   0.01917   0.00691   0.00100   0.00050   0.00002   0.00010   0.00010
   0.00262   0.01472   0.02226   0.00010   0.00030   0.00001   0.00030   0.00010
   0.02885   0.00897   0.00279   0.00480   0.00020   0.00000   0.00120   0.00010
   0.01131   0.01014   0.00727   0.00060   0.00040   0.00001   0.00000   0.00010
   0.03309   0.00519   0.04805   0.00030   0.00340   0.00004   0.00020   0.00090
   0.03613   0.02541   0.18550   0.00630   0.00070   0.00002   0.00160   0.00020
   0.32578   0.68385   0.06489   0.04020   0.02360   0.00060   0.00880   0.00510
   0.02098   0.02815   0.10764   0.00300   0.00380   0.00013   0.00120   0.00090
   0.01956   0.00493   0.06274   0.00600   0.00650   0.00034   0.00190   0.00220
   0.01190   0.00901   0.06413   0.00000   0.00080   0.00001   0.00010   0.00020
   0.00911   0.00711   0.02945   0.00150   0.00040   0.00001   0.00030   0.00010
   0.00237   0.00373   0.03213   0.00200   0.00080   0.00002   0.00060   0.00040
   0.01838   0.00894   0.04417   0.00150   0.00040   0.00000   0.00020   0.00000
   0.00460   0.04264   0.00885   0.00250   0.00030   0.00000   0.00060   0.00010
   0.00000   0.23553   0.03890   0.00060   0.00050   0.00002   0.00020   0.00020
   0.00399   0.00155   0.07892   0.00100   0.00040   0.00001   0.00040   0.00010
   0.04417   0.03676   0.79015   0.00190   0.00270   0.00011   0.00080   0.00050
   0.00091   0.00958   0.03548   0.00070   0.00030   0.00000   0.00010   0.00000
   0.00937   0.00568   0.06832   0.00140   0.00040   0.00002   0.00020   0.00020
   0.01320   0.01430   0.03512   0.00100   0.00310   0.00001   0.00030   0.00070
   0.05245   0.02537   0.04171   0.00750   0.00040   0.00010   0.00150   0.00010
   0.00126   0.00564   0.03572   0.00020   0.00000   0.00000   0.00010   0.00010
   0.01103   0.00602   0.01993   0.00010   0.00010   0.00002   0.00010   0.00000
   0.01888   0.02833   0.06879   0.00060   0.00800   0.00003   0.00010   0.00130
   0.04838   0.28599   0.31356   0.00070   0.00140   0.00079   0.00100   0.00100
   0.00751   0.01368   0.09388   0.00010   0.00070   0.00002   0.00010   0.00020
   0.00094   0.02288   0.01062   0.00240   0.00000   0.00001   0.00060   0.00000
   0.01599   0.00953   0.00342   0.00060   0.00040   0.00001   0.00010   0.00010
   0.00827   0.00737   0.02859   0.00160   0.00000   0.00002   0.00020   0.00000
   0.00856   0.00517   0.01793   0.00020   0.00030   0.00003   0.00020   0.00000
   0.00814   0.00034   0.03965   0.00130   0.00020   0.00002   0.00030   0.00000
   0.02769   0.03016   0.34761   0.00040   0.00010   0.00006   0.00030   0.00080
   0.00770   0.02636   0.04678   0.00010   0.00010   0.00000   0.00000   0.00000
   0.01448   0.02028   0.00571   0.00170   0.00260   0.00006   0.00030   0.00060
